house_id,area_sqft,bedrooms,bathrooms,floors,year_built,garage,locality,distance_to_city_km,school_rating,renovated,condition,price_inr
HSE09807,1032,3,3,1,2007,0,Rural,32.0,,0,Poor,71.02
HSE23997,2079,3,3,2,1995,0,Suburban,17.7,7.0,1,Average,132.54
HSE03528,1986,3,3,1,2000,1,Urban,4.7,5.4,0,Excellent,155.57
HSE38823,1717,2,1,1,1973,1,Suburban,,3.6,0,Good,127.93
HSE16352,2173,3,3,3,1993,1,Urban,1.8,9.0,1,Excellent,188.6
HSE15393,1743,2,2,1,2007,0,Urban,7.8,4.0,1,Good,137.83
HSE45949,1485,3,2,3,1987,1,Urban,8.5,7.3,0,Average,127.07
HSE68080,2698,3,3,2,1985,1,Suburban,15.5,8.2,0,Average,167.4
HSE63834,1954,3,2,1,2012,1,Rural,63.8,4.6,0,Good,511.20544090205385
HSE52013,1578,3,3,3,1974,1,Suburban,11.7,5.4,0,Good,131.06
HSE18393,2190,3,3,1,2013,1,Suburban,19.7,4.3,0,Good,138.76
HSE09475,1138,4,3,1,2021,1,Suburban,15.5,3.2,0,Average,117.56
HSE17595,2440,3,3,1,1986,1,Rural,74.7,7.1,0,Good,102.55
HSE36480,2274,4,4,1,1977,1,Urban,5.9,4.3,1,Average,160.6
HSE24788,1120,3,3,1,1999,0,Urban,4.6,4.1,0,Good,128.88
HSE45330,1754,5,4,2,1979,0,Suburban,29.5,7.3,0,Average,140.71
HSE89508,2778,3,2,3,1977,0,Urban,2.9,9.3,0,Good,173.79
HSE49962,2196,4,4,2,1995,1,Urban,9.8,3.9,1,Good,172.02
HSE75248,1880,3,3,1,1985,1,Rural,30.8,8.3,0,Excellent,107.86
HSE47316,2516,2,1,1,1994,0,Urban,2.7,8.3,0,Excellent,167.16
HSE25530,400,2,1,2,2020,1,Rural,36.6,9.9,1,Good,88.32
HSE14918,1999,5,5,2,2017,1,Suburban,22.7,7.7,0,Good,150.27
HSE51177,1789,2,1,1,2002,0,Suburban,17.7,5.9,0,Average,105.31
HSE80624,2771,3,3,2,2004,0,Suburban,13.4,5.4,0,Good,156.38
HSE40294,1851,1,1,1,1980,1,Urban,5.9,8.1,1,Good,153.93
HSE28081,1447,2,1,1,1985,1,Suburban,12.9,8.9,0,Average,109.07
HSE87209,400,4,4,1,2011,1,Rural,59.5,5.5,0,Average,49.6
HSE51557,2361,3,3,3,1996,0,Suburban,,4.0,0,Excellent,148.38
HSE71084,2587,4,3,2,2020,1,Rural,63.2,,1,Excellent,157.27
HSE25874,1878,4,4,2,1987,1,Suburban,21.8,5.8,1,Excellent,159.33
HSE40132,1550,3,3,2,2002,1,Suburban,10.7,3.6,0,Average,105.37
HSE27339,2241,3,3,1,1979,0,Urban,3.6,9.0,1,Poor,168.88
HSE41171,1560,2,2,1,1987,1,Rural,42.9,8.5,1,Average,88.9
HSE18533,1157,3,2,2,2011,1,Rural,35.7,4.2,0,Average,67.97
HSE50979,1266,2,1,1,1999,1,Urban,8.2,7.9,0,Average,121.6
HSE13505,1770,2,1,1,1995,0,Suburban,12.8,4.8,1,Excellent,142.68
HSE05519,1598,3,3,2,2006,1,Suburban,15.4,5.1,0,Excellent,142.84
HSE07044,1768,3,2,2,2015,1,Urban,5.3,9.8,0,Good,160.7
HSE05324,1663,3,3,1,2009,1,Suburban,27.6,4.6,0,Average,117.21
HSE89722,1983,2,2,1,2018,1,Suburban,17.5,9.9,0,Excellent,163.93
HSE17930,2582,1,1,3,1983,1,Rural,41.7,4.7,0,Good,119.45
HSE74140,2356,3,3,2,1996,1,Rural,64.9,9.2,0,Good,131.19
HSE16547,1458,3,3,2,2006,0,Suburban,14.5,4.8,0,Average,110.35
HSE18518,2447,4,3,1,1971,1,Suburban,28.0,6.1,0,Good,148.16
HSE39601,1369,4,3,2,2011,1,Suburban,24.6,5.0,1,Average,113.77
HSE86201,1938,2,2,1,1997,1,Urban,8.9,4.7,0,Good,135.6
HSE91543,836,3,3,1,1970,1,Rural,46.7,3.9,1,Good,83.61
HSE56047,1112,2,1,3,1976,1,Urban,8.5,5.8,0,Good,120.37
HSE53105,2386,3,3,1,1985,1,Urban,2.9,9.7,1,Good,172.49
HSE65369,1410,4,4,2,1975,0,Urban,6.1,5.2,0,Average,126.34
HSE67239,1502,1,1,3,2021,0,Urban,1.6,8.7,1,Excellent,133.68
HSE44125,2714,4,4,1,1996,1,Urban,7.3,7.3,1,Good,204.55
HSE25289,1492,4,3,1,2005,1,Rural,70.7,8.2,0,Good,105.0
HSE30430,2273,3,3,1,2010,1,Rural,72.4,4.8,0,Good,108.54
HSE18963,774,3,3,1,1995,1,Suburban,18.6,8.3,1,Good,112.36
HSE20678,2515,4,3,2,1977,1,Rural,39.4,7.0,0,Average,129.96
HSE35903,1836,3,3,2,1998,0,Rural,69.0,9.5,0,Good,88.27
HSE78658,2068,4,4,2,1982,1,Rural,76.6,5.8,1,Good,111.49
HSE08787,3017,2,1,2,2003,0,Urban,7.4,5.6,1,Good,168.58
HSE85182,2759,3,2,1,1986,1,Rural,54.6,3.2,0,Average,119.83
HSE42317,1661,3,2,1,1972,0,Urban,4.9,,1,Good,158.92
HSE07492,2163,4,4,1,2019,1,Suburban,16.2,4.9,0,Excellent,160.66
HSE62829,2398,4,4,1,1986,1,Suburban,24.9,4.3,1,Average,159.48
HSE36651,2564,1,1,2,2014,1,Urban,7.4,5.5,1,Average,173.38
HSE13288,2602,4,3,1,1983,1,Rural,43.2,3.1,1,Average,117.76
HSE93581,1369,3,3,2,2019,1,Urban,7.4,8.7,0,Poor,131.37
HSE90940,1255,2,2,1,1999,1,Urban,1.7,5.5,1,Good,140.85
HSE65840,1401,3,3,1,1979,1,Rural,49.7,7.8,1,Excellent,108.06
HSE86995,1909,5,5,3,1984,0,Urban,3.9,5.8,0,Excellent,170.2
HSE47625,1311,3,3,1,1973,1,Rural,41.6,7.0,1,Excellent,105.92
HSE08051,1270,2,2,2,1992,1,Suburban,23.7,4.9,0,Excellent,99.66
HSE05620,2326,3,3,1,1972,1,Rural,40.9,3.2,1,Good,107.07
HSE21820,1565,3,3,2,2001,0,Suburban,21.1,9.1,1,Good,142.85
HSE10066,1591,3,2,1,1973,0,Urban,3.2,5.5,1,Good,135.68
HSE64972,1906,3,2,1,1988,1,Urban,7.5,5.4,1,Average,157.76
HSE98002,1737,2,2,1,2000,0,Rural,67.5,4.2,0,Average,69.55
HSE17499,1637,3,2,1,2021,1,Suburban,18.5,8.7,0,Average,124.64
HSE47012,1722,2,2,2,1972,1,Suburban,19.4,5.9,0,Good,114.72
HSE07285,2014,4,4,1,2006,0,Suburban,29.8,8.6,0,Good,140.47
HSE69387,1684,3,2,2,1990,0,Urban,3.3,5.9,1,Good,145.87
HSE46229,1273,4,4,2,2020,1,Suburban,18.1,3.2,0,Average,104.73
HSE95657,1866,3,2,2,2020,0,Rural,67.0,9.1,0,Excellent,96.6
HSE35131,2288,1,1,3,2014,1,Suburban,25.2,3.8,0,Average,133.46
HSE99945,1565,2,1,1,1992,1,Urban,1.5,6.3,0,Good,143.72
HSE23604,928,3,3,1,2011,1,Urban,2.3,5.9,0,Good,128.3
HSE11669,2489,4,3,1,2020,0,Urban,2.5,6.6,0,Good,174.11
HSE96341,425,3,3,1,2018,1,Urban,,5.2,0,Good,119.37
HSE15554,2582,2,1,3,1983,1,Suburban,17.4,7.2,0,Excellent,153.14
HSE31077,400,4,4,2,2014,1,Rural,51.6,5.8,1,Average,79.15
HSE53857,1414,2,2,1,1977,1,Rural,62.1,6.6,0,Average,83.1
HSE05179,2162,2,2,2,1997,1,Suburban,18.7,8.4,1,Excellent,155.99
HSE14851,1953,3,3,1,2006,1,Suburban,25.2,8.7,0,Good,142.53
HSE92940,1804,3,3,1,1985,1,Suburban,16.4,9.6,0,Good,129.47
HSE60328,1089,3,3,1,2019,0,Suburban,12.1,9.0,1,Average,125.18
HSE10761,2266,5,4,1,2004,0,Suburban,13.5,5.9,1,Excellent,148.71
HSE66841,1076,3,3,1,2015,1,Suburban,22.0,5.1,0,Poor,101.01
HSE69063,1869,3,2,1,2010,0,Urban,3.9,5.7,1,Good,165.31
HSE37182,993,3,3,1,2009,1,Urban,4.9,3.4,1,Average,126.21
HSE58283,2938,2,2,1,2016,1,Urban,9.7,3.2,1,Average,430.36239975596817
HSE70684,1488,3,3,1,1983,1,Urban,9.4,5.3,1,Excellent,150.99
HSE61462,755,3,3,1,1971,0,Suburban,24.4,4.0,0,Excellent,84.12
HSE97410,1577,2,2,1,2005,0,Urban,9.1,8.2,1,Excellent,160.68
HSE17021,2518,3,3,1,2017,1,Suburban,21.2,7.6,1,Average,161.39
HSE59170,1205,2,2,1,1970,1,Urban,6.3,9.0,0,Good,118.02
HSE85451,951,3,2,1,2018,0,Suburban,10.9,9.9,1,Excellent,111.59
HSE27973,1488,2,2,1,1977,1,Urban,2.8,6.2,0,Good,131.1
HSE29532,960,4,3,1,2021,1,Urban,3.0,7.8,0,Average,128.1
HSE66996,1309,3,3,2,1999,1,Suburban,28.7,8.8,0,Excellent,121.44
HSE92988,2403,3,3,1,1991,0,Urban,8.0,4.8,0,Good,170.17
HSE11198,1348,3,2,3,2018,1,Urban,3.4,7.6,0,Excellent,150.26
HSE35337,1401,4,4,3,1971,1,Suburban,10.3,7.7,1,Good,139.48
HSE92107,914,3,2,1,2021,1,Suburban,18.3,6.1,0,Good,100.99
HSE39762,2534,1,1,2,2007,0,Rural,52.9,9.4,0,Good,113.43
HSE86898,1734,3,3,3,2020,1,Rural,30.5,9.9,0,Excellent,129.92
HSE26662,2024,2,2,1,1989,1,Urban,2.8,7.7,0,Average,156.07
HSE72840,1894,4,3,1,2008,1,Suburban,16.4,8.9,1,Average,161.27
HSE32686,1122,3,3,3,1993,1,Suburban,16.6,6.0,1,Average,114.54
HSE22723,2229,3,3,1,1977,0,Urban,6.2,5.8,0,Good,159.55
HSE80897,2331,2,2,3,2021,1,Suburban,25.4,8.8,1,Average,153.84
HSE82833,1214,1,1,1,1989,0,Urban,7.3,4.2,1,Good,116.54
HSE06926,1631,4,4,1,1978,0,Urban,1.4,9.5,0,Good,154.95
HSE62245,1894,2,2,2,2008,0,Urban,4.2,4.3,1,Poor,129.0
HSE15433,1753,5,4,1,1989,1,Rural,70.3,9.6,0,Excellent,121.29
HSE08654,1623,2,1,1,1983,1,Suburban,29.9,7.0,0,Average,110.43
HSE07845,2378,3,3,2,2003,1,Urban,1.4,7.1,1,Good,189.76
HSE04586,1010,5,5,1,2014,1,Suburban,15.1,6.3,1,Excellent,137.18
HSE92637,1544,4,4,2,2012,1,Urban,9.5,6.7,0,Excellent,158.66
HSE47093,1299,3,2,1,1991,0,Suburban,20.7,8.1,0,Average,109.18
HSE85158,1610,3,2,1,1999,1,Rural,37.3,6.6,0,Excellent,108.3
HSE99728,2616,3,3,1,2000,1,Urban,2.2,9.3,0,Excellent,205.07
HSE60902,2853,3,3,3,2018,1,Suburban,24.8,6.7,1,Average,157.13
HSE43919,2114,3,3,1,1986,1,Rural,46.1,9.0,0,Good,129.29
HSE89390,1565,5,5,2,1980,1,Rural,50.9,8.8,1,Poor,108.97
HSE86231,809,1,1,2,2022,1,Urban,8.1,9.7,1,Good,139.02
HSE12858,905,4,4,3,1978,1,Urban,2.0,4.2,0,Good,123.3
HSE82315,2115,3,3,3,2011,0,Urban,3.8,7.8,0,Average,150.64
HSE64477,1234,1,1,2,1991,0,Urban,2.0,7.8,0,Good,117.19
HSE34018,1207,1,1,2,2013,0,Suburban,10.5,6.9,0,Excellent,115.74
HSE13023,2334,4,4,1,2021,1,Urban,9.5,8.2,1,Average,166.53
HSE34524,2442,3,3,2,2013,1,Suburban,19.7,7.5,0,Excellent,168.74
HSE33706,2519,3,3,1,1979,1,Urban,9.0,7.8,1,Good,186.36
HSE99202,1750,2,1,1,1991,0,Urban,8.6,4.4,1,Good,136.11
HSE46432,1095,3,3,1,1996,0,Rural,37.4,3.6,0,Good,74.37
HSE08649,1608,3,2,3,2000,1,Urban,2.5,3.6,1,Good,159.77
HSE51824,1328,2,2,2,1996,1,Suburban,29.9,3.7,1,Poor,97.83
HSE98920,901,2,2,2,1982,1,Suburban,22.7,7.6,0,Good,90.47
HSE73499,1352,3,3,2,2020,1,Suburban,10.9,7.8,1,Excellent,134.23
HSE82092,2686,3,2,2,1987,0,Urban,9.1,9.2,0,Excellent,197.33
HSE33312,2269,3,2,1,1996,1,Rural,45.2,8.5,1,Good,142.62
HSE30490,1184,3,3,2,2014,0,Urban,2.2,6.9,0,Poor,123.49
HSE04477,832,5,4,1,1996,1,Urban,3.5,4.4,0,Average,120.42
HSE63983,2917,2,2,1,1975,1,Urban,7.7,5.5,0,Excellent,184.05
HSE75635,679,4,3,2,2013,1,Suburban,11.2,6.3,1,Average,113.63
HSE31588,1233,3,2,1,1975,0,Urban,7.0,8.1,0,Average,131.29
HSE97575,2402,3,3,2,2020,0,Suburban,13.9,6.8,1,Excellent,150.49
HSE10404,1073,3,2,2,2012,1,Suburban,14.7,8.2,0,Good,115.81
HSE05708,2449,4,4,2,1983,1,Urban,8.9,,1,Average,178.55
HSE44797,1394,5,5,2,1989,1,Suburban,13.4,3.3,0,Average,119.5
HSE67492,2157,3,3,3,1978,0,Urban,9.9,7.8,0,Good,159.29
HSE69022,1553,3,3,1,2008,1,Urban,5.1,4.9,0,Poor,121.71
HSE31370,2819,3,2,2,2018,1,Urban,5.7,7.2,0,Good,177.61
HSE83587,1534,2,1,1,1989,1,Rural,48.2,8.8,1,Poor,91.61
HSE88808,1970,2,2,1,1984,1,Urban,6.2,3.2,1,Average,152.54
HSE94687,2252,3,3,2,2009,0,Suburban,20.2,6.4,0,Poor,121.33
HSE12610,1900,2,2,2,1998,1,Suburban,15.0,7.0,0,Excellent,155.21
HSE48213,2177,3,2,1,1992,1,Rural,52.4,5.0,1,Excellent,129.83
HSE81962,1507,4,3,1,1982,1,Suburban,13.4,7.2,0,Excellent,145.94
HSE95959,1338,4,4,2,2016,0,Rural,61.2,6.6,0,Good,87.77
HSE26184,1230,3,2,1,1997,0,Urban,6.9,4.1,1,Average,131.8
HSE50607,2363,3,2,2,1988,0,Suburban,11.6,4.9,0,Average,133.31
HSE41785,1690,4,4,1,1973,0,Suburban,18.0,8.8,0,Average,129.71
HSE05720,1921,2,1,1,2015,1,Urban,4.9,6.3,0,Average,152.53
HSE64805,1475,2,2,1,1973,1,Urban,,7.9,0,Excellent,142.8
HSE52518,1398,2,2,1,1978,1,Suburban,23.4,4.1,0,Good,113.94
HSE06874,1683,3,3,3,2014,1,Suburban,24.9,6.2,1,Average,141.96
HSE04822,1838,3,3,2,1982,1,Urban,3.3,5.1,0,Good,163.82
HSE81095,1354,4,3,2,1989,1,Urban,2.8,5.4,0,Good,144.01
HSE45496,939,4,4,1,1978,1,Suburban,14.7,3.3,0,Excellent,114.96
HSE76893,903,3,2,1,2016,1,Urban,3.0,9.4,0,Average,129.23
HSE62347,1069,3,3,2,1991,0,Urban,4.8,6.4,0,Poor,105.38
HSE32977,2004,2,2,1,1973,0,Suburban,23.7,5.8,1,Good,141.94
HSE91701,1980,3,3,1,2012,0,Suburban,20.6,6.2,1,Good,145.78
HSE01602,2413,4,3,3,2018,1,Urban,4.0,6.5,1,Good,198.88
HSE33018,1592,4,4,2,2004,1,Urban,6.6,4.7,0,Poor,123.69
HSE08917,1053,3,3,2,1993,1,Suburban,12.5,3.4,0,Good,86.77
HSE99273,1764,3,2,2,1974,1,Suburban,24.5,9.8,0,Excellent,138.35
HSE39432,2475,3,3,1,1996,1,Suburban,18.2,8.3,0,Average,145.08
HSE49434,1660,3,3,2,1996,0,Suburban,24.1,8.6,0,Average,123.06
HSE00584,3383,4,4,1,2011,1,Suburban,27.8,,1,Average,186.7
HSE24142,595,2,1,3,2001,1,Rural,76.7,3.0,1,Average,37.75
HSE84484,1348,4,3,2,2013,1,Suburban,25.9,3.6,1,Average,119.34
HSE75639,1722,4,3,1,1972,1,Rural,79.0,7.5,1,Excellent,115.87
HSE91022,2732,3,3,1,1982,0,Urban,8.5,8.2,0,Good,173.64
HSE66012,1516,3,2,1,1995,1,Suburban,11.8,6.3,0,Poor,113.1
HSE82267,1740,1,1,3,2014,0,Urban,5.2,8.8,0,Good,139.85
HSE04144,1805,4,4,2,1985,0,Rural,41.9,5.7,0,Poor,83.83
HSE12103,2654,3,3,2,1992,1,Urban,9.4,5.7,0,Good,170.13
HSE67406,1752,3,3,2,2019,0,Suburban,11.2,4.0,0,Poor,103.31
HSE20204,1256,3,3,1,2003,1,Urban,3.2,6.4,0,Good,122.29
HSE72623,1597,3,3,1,1971,0,Urban,9.5,5.3,0,Average,126.02
HSE31069,2816,3,3,1,1991,0,Suburban,18.9,5.2,1,Excellent,174.2
HSE81999,2767,3,3,1,2005,1,Suburban,25.1,4.2,0,Excellent,173.06
HSE93904,2053,3,2,1,2008,1,Urban,8.7,8.5,0,Good,157.8
HSE30955,1762,4,4,2,1980,1,Suburban,10.7,8.4,1,Excellent,155.56
HSE03455,1390,4,4,3,1997,1,Rural,67.0,3.4,0,Good,80.46
HSE52260,976,1,1,1,2013,1,Urban,1.4,5.7,0,Good,129.55
HSE50056,1687,3,2,1,1990,1,Suburban,11.3,9.7,0,Good,136.76
HSE99726,2420,3,2,1,1994,1,Suburban,25.3,4.8,0,Excellent,154.36
HSE49339,2091,4,3,1,1970,0,Rural,48.7,3.1,0,Excellent,107.91
HSE07813,2265,3,2,1,2005,0,Suburban,21.7,6.2,0,Good,140.7
HSE10193,2487,5,4,1,1988,1,Suburban,26.0,3.4,0,Good,529.7447784004344
HSE79063,1116,3,3,1,1994,1,Suburban,15.2,3.6,1,Good,110.4
HSE11360,1566,3,3,1,1999,0,Suburban,10.5,4.3,0,Average,112.91
HSE51366,1548,3,3,2,2016,0,Urban,2.6,5.9,1,Excellent,148.18
HSE36047,1792,4,4,1,2008,0,Urban,4.5,8.4,1,Good,174.21
HSE02385,1823,1,1,1,2006,0,Suburban,13.0,4.8,0,Excellent,118.02
HSE85581,1533,3,2,1,1990,0,Suburban,18.8,9.9,0,Good,134.98
HSE57132,1679,5,5,1,1984,0,Suburban,11.5,6.1,0,Excellent,142.33
HSE23498,835,3,3,2,1984,0,Suburban,27.0,5.5,0,Average,72.29
HSE01435,1993,3,3,1,1996,1,Urban,4.3,5.0,1,Excellent,176.31
HSE81140,1743,3,2,2,1985,0,Urban,8.9,3.4,1,Good,146.79
HSE52596,1757,3,3,2,1980,0,Suburban,16.8,8.9,0,Good,129.16
HSE28303,1637,3,3,1,1993,1,Urban,2.7,4.2,0,Average,137.79
HSE38892,1358,2,2,1,2001,1,Rural,32.6,9.3,1,Good,97.4
HSE99054,3218,3,3,1,1999,1,Urban,4.0,,1,Average,203.58
HSE78013,1685,3,3,2,2001,1,Urban,4.4,8.7,0,Excellent,169.77
HSE08807,1843,5,5,3,1978,0,Suburban,25.5,3.8,1,Excellent,137.39
HSE26642,1718,2,2,1,2005,0,Urban,1.7,3.8,1,Good,139.08
HSE11514,2227,5,4,2,1993,0,Suburban,18.5,9.4,0,Good,153.08
HSE65203,2342,2,1,1,1975,0,Rural,62.5,8.9,0,Average,94.37
HSE28629,2131,2,1,3,1996,0,Suburban,24.6,9.5,0,Good,138.84
HSE41241,1683,4,3,2,2009,1,Urban,5.6,7.8,1,Average,163.66
HSE62725,1444,2,1,1,2016,1,Urban,3.5,9.8,1,Excellent,157.12
HSE66948,1858,3,3,2,1980,0,Suburban,15.9,3.1,1,Good,133.92
HSE83504,729,4,4,1,1979,1,Suburban,11.8,7.1,1,Average,99.7
HSE77414,653,3,3,2,1995,0,Suburban,22.9,9.6,1,Excellent,99.56
HSE07255,3183,3,3,1,1997,1,Suburban,16.9,6.0,0,Good,173.61
HSE88622,2336,4,4,2,1970,1,Urban,4.7,3.5,1,Average,163.19
HSE74466,2399,2,2,2,2020,1,Rural,53.5,5.1,0,Average,118.22
HSE99053,2989,3,2,1,2021,1,Urban,5.2,5.9,0,Average,185.56
HSE84581,2128,3,3,1,2018,0,Suburban,11.4,,1,Average,158.27
HSE23395,1979,3,2,1,1980,1,Rural,68.1,10.0,1,Poor,103.25
HSE39825,756,4,4,1,1974,1,Suburban,23.7,8.9,0,Good,120.26
HSE40037,1720,2,2,2,2012,1,Suburban,22.2,3.3,0,Poor,101.79
HSE47859,1157,2,2,3,2019,0,Rural,51.4,8.1,0,Poor,60.53
HSE82183,2355,4,3,1,2021,0,Rural,50.2,9.4,1,Excellent,141.55
HSE13112,785,3,3,3,1985,1,Suburban,14.3,5.4,0,Excellent,105.65
HSE32757,2855,3,3,1,1972,1,Urban,6.3,6.9,0,Average,151.86
HSE33419,2942,3,2,3,1998,1,Urban,5.8,7.9,0,Average,173.93
HSE78263,1632,5,5,1,1980,1,Suburban,16.0,5.1,1,Average,134.12
HSE65390,678,4,3,2,1986,1,Urban,7.8,4.5,1,Good,104.38
HSE79233,1361,3,3,3,2014,1,Urban,6.1,5.6,0,Average,128.25
HSE54580,1713,4,3,2,2019,1,Urban,7.8,4.8,0,Good,149.14
HSE30437,1755,3,2,1,1992,0,Urban,5.4,3.6,0,Good,141.23
HSE45109,1125,2,2,1,1977,1,Urban,7.6,3.5,1,Good,119.62
HSE41457,1211,3,2,1,2020,0,Suburban,12.8,9.4,1,Good,135.21
HSE64105,1658,3,3,1,1975,1,Urban,4.9,3.2,0,Average,135.17
HSE02748,1613,3,2,1,1998,1,Urban,9.2,3.2,0,Average,128.14
HSE18888,562,4,4,2,2013,1,Urban,2.6,5.5,0,Average,130.08
HSE41255,2114,3,2,1,1989,1,Urban,4.8,7.0,0,Poor,143.22
HSE23449,2717,3,2,1,1994,1,Urban,2.6,3.6,0,Average,156.76
HSE89446,1573,4,3,1,2016,1,Suburban,19.9,9.6,0,Good,148.39
HSE22328,2159,3,3,1,2005,1,Rural,64.8,5.1,0,Excellent,114.39
HSE33788,2549,3,3,1,2007,1,Suburban,18.3,6.3,0,Average,158.11
HSE49111,854,4,4,2,2004,1,Suburban,28.6,4.7,1,Good,114.28
HSE75613,1896,3,2,1,1993,1,Urban,7.8,3.6,0,Average,140.86
HSE35302,1254,2,1,2,1996,1,Rural,41.3,6.4,0,Good,75.08
HSE80229,1836,3,2,1,1978,1,Urban,1.2,9.9,0,Good,152.77
HSE94729,2724,3,2,2,1999,1,Urban,9.3,6.3,0,Average,182.18
HSE42205,829,3,3,1,1974,1,Urban,3.2,9.6,1,Average,120.53
HSE17328,1579,4,4,1,1995,1,Suburban,29.2,5.0,0,Poor,102.46
HSE70259,1709,2,2,2,1988,1,Suburban,27.2,9.2,0,Good,130.04
HSE66662,2352,3,3,1,1983,1,Rural,42.7,6.9,0,Excellent,132.7
HSE98634,1387,2,2,1,2009,0,Suburban,22.8,9.1,0,Excellent,122.66
HSE98414,2055,3,3,1,2022,1,Rural,67.8,4.9,1,Good,134.27
HSE03003,1620,2,1,1,2005,0,Urban,5.3,6.0,0,Excellent,148.49
HSE80417,1703,3,3,1,2004,1,Rural,65.5,3.1,0,Average,80.06
HSE03765,1837,2,2,3,1972,1,Urban,4.6,3.2,0,Average,121.17
